source_row,record_type,source_bpm_id,source_gas_id,source_name,source_address,source_url,runtime_domain,runtime_name,parent_source_row,configured_srv_num,mapped_srv_num,confirmed_srv_nums,building_id,building_name,building_id_status,mapping_status,source_id_conflict
52,first_instance,TERRITORIAL_COURT_7996,03RS0047,Караидельский межрайонный суд Республики Башкортостан,"452360, Республика Башкортостан, Караидельский район, с. Караидель, ул. Романова, 16",https://karaidelsky.bkr.sudrf.ru/modules.php?name=sud_delo,karaidelsky--bkr.sudrf.ru,Караидельский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
53,first_instance,TERRITORIAL_COURT_7997,03RS0048,Кармаскалинский межрайонный суд Республики Башкортостан,"453020, Республика Башкортостан, Кармаскалинский район, с. Кармаскалы, ул. Кирова, 36",https://karmaskalinsky.bkr.sudrf.ru/modules.php?name=sud_delo,karmaskalinsky--bkr.sudrf.ru,Кармаскалинский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
54,first_instance,TERRITORIAL_COURT_7998,03RS0049,Краснокамский межрайонный суд Республики Башкортостан,"452930, Республика Башкортостан, Краснокамский район, с. Николо-Березовка, ул. К. Маркса, 8",https://krasnokamsky.bkr.sudrf.ru/modules.php?name=sud_delo,krasnokamsky--bkr.sudrf.ru,Краснокамский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
55,judicial_presence,TERRITORIAL_COURT_7999,03RS0012_Ermolaevo,Кумертауский межрайонный суд Республики Башкортостан (судебное присутствие в с. Ермолаево),"453361, Республика Башкортостан, Куюргазинский район, с. Ермолаево, ул. Чапаева, 2",https://kumertauskiy.bkr.sudrf.ru/modules.php?name=sud_delo,kumertauskiy--bkr.sudrf.ru,Кумертауский межрайонный суд,5,,1,[1],913410001,Постоянное судебное присутствие,inferred_from_unique_presence_and_live_listing,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
56,first_instance,TERRITORIAL_COURT_8000,03RS0051,Кугарчинский межрайонный суд Республики Башкортостан,"453330, Республика Башкортостан, Кугарчинский район, с. Мраково, ул. Ленина, 9",https://kugarchinsky.bkr.sudrf.ru/modules.php?name=sud_delo,kugarchinsky--bkr.sudrf.ru,Кугарчинский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
57,judicial_presence,TERRITORIAL_COURT_8001,03RS0028_Kigi,Белокатайский межрайонный суд Республики Башкортостан (судебное присутствие в с.Верхние Киги),"452500, Республика Башкортостан, Кигинский район, с. Верхние Киги, ул. Ленина, 77",https://belokataisky.bkr.sudrf.ru/modules.php?name=sud_delo,belokataisky--bkr.sudrf.ru,Белокатайский межрайонный суд,35,,1,[1],913410001,Постоянное судебное присутствие в с. В. Киги Кигинского района Республики Башкортостан,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
58,first_instance,TERRITORIAL_COURT_8002,03RS0053,Кушнаренковский районный суд,"452230, Республика Башкортостан, Кушнаренковский район, с. Кушнаренково, ул. Октябрьская, 62",https://kushnarenkovsky.bkr.sudrf.ru/modules.php?name=sud_delo,kushnarenkovsky--bkr.sudrf.ru,Кушнаренковский районный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
59,first_instance,TERRITORIAL_COURT_8003,03RS0054,Мелеузовский районный суд Республики Башкортостан,"453850, Республика Башкортостан, г. Мелеуз, ул. Советская, д. 3",https://meleuzovsky.bkr.sudrf.ru/modules.php?name=sud_delo,meleuzovsky--bkr.sudrf.ru,Мелеузовский районный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
60,judicial_presence,TERRITORIAL_COURT_8004,03RS0028_Bolsheustikinskoe,Белокатайский межрайонный суд Республики Башкортостан (Судебное присутствие в с.Большеустьикинское),"452550, Республика Башкортостан, Мечетлинский район, с. Большеустьикинское, ул. Советская, 25",https://belokataisky.bkr.sudrf.ru/modules.php?name=sud_delo,belokataisky--bkr.sudrf.ru,Белокатайский межрайонный суд,35,,1,[1],913410002,Постоянное судебное присутствие в с. Большеустьикинское Мечетлинского района,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
61,judicial_presence,TERRITORIAL_COURT_8006,03RS0032_Mishkino,Бирский межрайонный суд Республики Башкортостан (судебное присутствие в с. Мишкино),"452340, Республика Башкортостан, Мишкинский район, с. Мишкино, ул. Дружбы, 29",https://birsky.bkr.sudrf.ru/modules.php?name=sud_delo,birsky--bkr.sudrf.ru,Бирский межрайонный суд,39,,1,[1],913410001,Бирский межрайонный суд Постоянное судебное присутствие в с.Мишкино,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
62,judicial_presence,TERRITORIAL_COURT_8007,03RS0044_Gorka,Иглинский межрайонный суд Республики Башкортостан (судебное присутствие в с. Красная горка),"452440, Республика Башкортостан, Нуримановский район, с. Красная Горка, ул. Советская, 64",https://iglinsky.bkr.sudrf.ru/modules.php?name=sud_delo,iglinsky--bkr.sudrf.ru,Иглинский межрайонный суд,49,,1,[1],913410001,Постоянное судебное присутствие с. Красная Горка Нуримановского района,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
